"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"4b1814","SWR1059 ","Switzerland","1653417366","1653417366","8.9609","49.553","10050.78","FALSE","210.19","190.29","-7.48",NA,"10172.7","1135","FALSE","0","0"
"a21b74","MLN235  ","United States","1653417367","1653417367","-76.5806","41.5149","7620","FALSE","261.92","91.35","0",NA,"7909.56","7447","FALSE","0","0"
"a808c4","PDT6100 ","United States","1653417366","1653417366","-74.4788","40.0358","5189.22","FALSE","162.07","37.78","9.75",NA,"5394.96","2632","FALSE","0","1"
"4b1815","SWR240J ","Switzerland","1653417363","1653417363","8.5594","47.4534",NA,"TRUE","0","5.62",NA,NA,NA,NA,"FALSE","0","0"
"4b1816","SWR78J  ","Switzerland","1653417366","1653417366","5.3847","50.3797","7985.76","FALSE","217.48","122.64","9.1",NA,"8001","1000","FALSE","0","0"
"a46e70","LXJ385  ","United States","1653417302","1653417302","-80.4449","40.5139","838.2","FALSE","119.81","211.3","-5.53",NA,"1219.2","4161","FALSE","0","0"
"e8027d","LPE2087 ","Chile","1653417366","1653417366","-76.3845","-7.1287","3177.54","FALSE","164.08","9.02","-5.2",NA,"3375.66",NA,"FALSE","0","1"
"aa56da","UAL2669 ","United States","1653417366","1653417366","-120.4487","35.1771","10668","FALSE","242.63","126.12","0",NA,"11148.06","1747","FALSE","0","4"
"7c6b2f","JST971  ","Australia","1653417288","1653417289","119.2768","-33.3085","10500.36","FALSE","264.72","112.03","2.28",NA,"10690.86","7246","FALSE","0","0"
"aa9321","UAL914  ","United States","1653417366","1653417366","-77.3587","38.833","1135.38","FALSE","91.07","180.97","0.33",NA,"1203.96","6017","FALSE","0","1"
"ade18c","AAL1262 ","United States","1653417366","1653417366","-83.3168","28.9516","10050.78","FALSE","251.67","36.94","0",NA,"10561.32",NA,"FALSE","0","1"
"4b1813","SWR105W ","Switzerland","1653417366","1653417367","9.5616","52.4174","10584.18","FALSE","199.28","187.57","6.5",NA,"10622.28","1131","FALSE","0","0"
"a6aeab","N53GA   ","United States","1653417365","1653417366","-86.1156","42.7342","3253.74","FALSE","106.34","175.28","0",NA,"3337.56","5330","FALSE","0","2"
"a4b205","N401TD  ","United States","1653417366","1653417366","-74.0096","40.7594","327.66","FALSE","57.7","21.99","0",NA,"411.48","4326","FALSE","0","8"
"a22e99","N24KT   ","United States","1653417366","1653417366","-105.338","36.8467","12496.8","FALSE","219.52","186.46","-0.33",NA,"12641.58",NA,"FALSE","0","0"
"4b1804","SWR35N  ","Switzerland","1653417366","1653417366","7.5414","47.6231","4594.86","FALSE","177.67","109.27","-12.68",NA,"4686.3","0504","FALSE","0","0"
"4b1805","SWR113Y ","Switzerland",NA,"1653417332",NA,NA,NA,"FALSE","0","244.69",NA,NA,NA,NA,"FALSE","0","0"
"4b1806","SWR108T ","Switzerland","1653417326","1653417336","8.5607","50.0416",NA,"TRUE","0","160.31",NA,NA,NA,"2000","FALSE","0","0"
"a90ea8","DAL499  ","United States","1653417366","1653417366","-84.4446","31.1405","9448.8","FALSE","231.57","186.76","0",NA,"9883.14",NA,"FALSE","0","0"
"aa56d4","UAL1560 ","United States","1653417062","1653417062","-84.1963","9.9968",NA,"TRUE","2.57","70.31",NA,NA,NA,NA,"FALSE","0","0"
"aa56d5","UAL679  ","United States","1653417366","1653417366","-110.1981","38.4961","10972.8","FALSE","222.44","238.33","0.33",NA,"11155.68","3325","FALSE","0","4"
"a5a8f5","N464FA  ","United States","1653417365","1653417365","-75.7734","41.2104","1729.74","FALSE","52","152.93","0.65",NA,"1790.7",NA,"FALSE","0","0"
"a4b20f","N401TP  ","United States","1653417089","1653417089","-112.3727","33.4261",NA,"TRUE","16.98","208.12",NA,NA,NA,NA,"FALSE","0","0"
"a5820c","N454MA  ","United States","1653417366","1653417366","-81.3687","28.1297","4831.08","FALSE","165.6","219.33","0",NA,"5105.4",NA,"FALSE","0","0"
"a5f849","N484JM  ","United States","1653417366","1653417366","-119.7565","34.9997","10058.4","FALSE","264.83","135.31","-0.33",NA,"10523.22","3331","FALSE","0","0"
"a3687e","AJT887  ","United States","1653417365","1653417366","-81.8263","40.3302","10652.76","FALSE","265.47","89.44","0",NA,"11064.24","6724","FALSE","0","1"
"4b1800","SWR181V ","Switzerland","1653417367","1653417367","9.5514","45.0779","12184.38","FALSE","216.28","308.72","-0.33",NA,"12428.22","5507","FALSE","0","4"
"a545e4","N439PT  ","United States","1653417366","1653417366","-77.4143","35.9137","2240.28","FALSE","79.84","64.43","3.58",NA,"2346.96",NA,"FALSE","0","0"
"7c6b1b","JST226  ","Australia","1653417355","1653417364","172.5375","-43.4876",NA,"TRUE","1.54","70.31",NA,NA,NA,NA,"FALSE","0","1"
"acdfa5","N929AM  ","United States","1653417366","1653417366","-71.859","42.1365","1729.74","FALSE","81.89","223.22","0.65",NA,"1805.94",NA,"FALSE","0","0"
